dataset,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,Features.Skew.StandardDeviation,Features.Skew.Mean,Labels.Skew.NonAggregated,Features.PearsonCorrelation.Mean,Features.PearsonCorrelation.StandardDeviation,FeaturesLabels.PearsonCorrelation.Mean,FeaturesLabels.PearsonCorrelation.StandardDeviation,Features.SpearmanCorrelation.Mean,Features.SpearmanCorrelation.StandardDeviation,FeaturesLabels.SpearmanCorrelation.Mean,FeaturesLabels.SpearmanCorrelation.StandardDeviation,Features.Kurtosis.Mean,Features.Kurtosis.StandardDeviation,Labels.Kurtosis.NonAggregated,Features.Mean.Mean,Features.Mean.StandardDeviation,Labels.Mean.NonAggregated,,instances,dimensionality,instances_with_missing_val,ratio_of_discrete_features,ratio_of_numeric_features,nonzero_vals_cnt,missing values,attributes total,attributes categorical,attributes numerical
cylinder-bands,-0.941892898,0.681525559,0.961790133,-0.943383426,-0.560811356,-0.932434152,0.497428212,-0.825193358,-0.952970034,-0.613588183,0.554214125,-0.812957482,0.982179984,0.945060596,-0.490319816,-0.984001066,0.891661812,0.746546091,0.939792877,-0.281795296,0.948722953,0.992353199,0.564227516,-0.347104711,0.915429139,-0.901678344,-0.982875622,0.525746418,-0.684815291,0.093226867,-0.624655398,0.918329069,-0.265236735,-0.520147513,-0.496503275,0.961958202,-0.318759442,0.739358154,0.488254206,-0.890675118,-0.72887354,-0.932689663,0.322083089,-0.918038265,-0.98455027,-0.520955088,0.386292472,-0.872024665,0.923198669,0.997904323,0.467073589,0.854169793,-0.545048835,0.769164731,0.915542504,0.574367565,-0.578219597,0.758539266,-0.9265176,-0.873165597,0.648847451,0.338385699,0.805044103,0.721234842,0.165603074,0.260677791,0.693362724,-0.496812787,-0.756853702,-0.398178125,0.84397644,0.92838318,0.577468991,-0.480132085,0.821447778,-0.917963521,-0.924424927,-0.051857068,-0.325766218,-0.323823795,0.977124284,-0.103255486,0.551882635,0.283657931,0.923881077,0.523826543,-0.119441305,0.95696065,-0.753747686,-0.929130592,0.535558511,-0.384651149,0.880255837,-0.913424248,-0.9806064,-0.370954903,0.717076567,-0.666995721,-0.488538722,-0.168131641,0.609645978,0.348393801,-0.762872808,-0.874661629,0.899403914,0.666666667,0.222222222,0.133333333,0.133333333,0.177777778,0.177777778,0.266666667,0.044444444,0.088888889,0,0,0,0.044444444,0.133333333,0.088888889,0.311111111,0.133333333,0.222222222,0.266666667,1,4.225671036,-0.405985199,-0.448358831,0.143078438,0.290704536,0.130428833,0.262282247,0.001507244,0.173982065,0.044309601,0.196698285,19.81927493,42.62434801,-1.798974359,0.016927165,0.100141962,0.609375,,512,0.0703125,0,0,1,18432,0,36,0,36
dermatology,0.44795582,0.954857486,0.956605886,-0.175028309,0.910918729,-0.265805917,0.965040443,0.804596095,-0.068178107,0.483792303,0.947764295,0.643313251,0.974686013,0.903150073,0.564966907,0.327562431,0.394866723,0.626231625,0.638062518,0.535316946,0.775525498,0.615282364,0.324585136,0.552640926,0.915808322,0.465685172,0.249567029,0.853236464,-0.082590236,0.981101143,-0.147362541,0.963920546,0.870224745,0.069851068,0.337186282,0.997017413,0.729073602,0.925484292,0.78027136,-0.227671734,0.788586497,-0.321367889,0.896155466,0.700526474,-0.171098786,0.607290055,0.842266741,0.532813809,0.963499369,0.978486828,-0.030288498,0.574489508,-0.139018522,0.009337915,0.792924311,0.1318517,-0.067687139,0.168109102,-0.22005478,-0.217524138,-0.052898466,0.931153281,0.877490533,0.175366143,0.314770466,0.984641285,0.742264425,0.872287774,0.70581679,-0.190930642,0.143963572,0.72330591,0.153518236,-0.149949584,0.405978367,-0.243149464,-0.325362894,0.857730364,-0.005671192,0.422261812,0.951108906,0.716998084,0.953113094,0.833293758,0.244316839,0.285257187,0.862850234,0.8906446,0.808181501,0.613685434,0.123798155,0.080323161,0.363044981,-0.10382834,-0.20312655,0.321652232,0.28021527,0.524385278,0.682520899,0.710946712,0.911193581,0.767280965,0.67126183,0.442023102,0.92138315,0,0,0,0,0,0,0.072727273,0.218181818,0.254545455,0.218181818,0.109090909,0.218181818,0.145454545,0.254545455,0.218181818,0.218181818,0.290909091,0.436363636,0.436363636,1,1.264677536,1.367560073,0.404022067,0.083328109,0.277391706,0.007921312,0.30483576,0.044120911,0.320678801,-0.093358278,0.404729228,2.35282317,5.317084986,-1.056956368,0.051522219,0.300423756,1.803278689,,366,0.095628415,0,0,1,12810,0,35,0,35
diabetes,-0.922675757,0.910514863,0.986393992,-0.979681777,0.010908218,-0.812910161,0.850360887,-0.176090271,-0.971905209,-0.446548727,0.905131931,-0.501994428,0.985628064,0.954628006,-0.7064169,-0.963816637,0.884992179,0.313718943,0.899072801,-0.648496696,0.487044883,0.965384223,0.258995277,-0.69703664,0.746860675,-0.861378843,-0.976105779,0.83700952,-0.930266394,0.331911045,-0.638724472,0.961996137,0.147399486,-0.817904203,-0.659254522,0.998253326,-0.222642083,0.958475229,0.760609681,-0.951934033,-0.119286728,-0.847982058,0.771864236,-0.300365169,-0.987333737,-0.351380664,0.830827682,-0.596209728,0.949164015,0.989777075,-0.096741029,0.780270622,-0.888528357,0.119759465,0.948617992,0.492057698,-0.920908468,0.447110405,-0.986571044,-0.907791258,0.247547745,0.375600261,0.859447197,0.150980623,-0.220781886,0.330797502,0.705682056,0.140990339,-0.226338098,-0.635536036,0.444278339,0.817216136,0.167304439,-0.620383527,0.720483537,-0.771647542,-0.856808332,0.154460844,-0.741671167,-0.628754251,0.952631798,-0.221409747,0.911820052,0.691105834,0.308945512,-0.186197472,0.163630347,0.84046071,-0.069069081,-0.396544044,0.365778656,-0.814943826,0.591544271,-0.929262393,-0.979892454,-0.671322519,0.122646051,-0.517978553,-0.261005475,-0.208237053,0.95050807,0.754664595,-0.411169053,-0.659347187,0.898695203,0.558139535,0.279069767,0.093023256,0.372093023,0.093023256,0.046511628,0.093023256,0.23255814,0.093023256,0.046511628,0,0.325581395,0.046511628,0.23255814,0.139534884,0,0,0.279069767,0.372093023,1,1.238665109,0.528211884,,0.115245501,0.159954588,,,0.153235953,0.181814491,,,2.749524196,2.732333722,,44.98579118,38.94623512,,,768,0.01171875,0,0,1,6912,0,9,0,9
diggle_table_a2,0.849167829,0.837780222,0.966197468,-0.482370004,0.837695043,-0.105287135,-0.105287135,0.837695043,0.511508697,-0.787049087,0.837780222,0.738170659,0.817917768,0.963731164,0.987162037,0.775089092,-0.772157056,0.987162617,-0.118177126,-0.118177126,0.987162617,0.842068265,-0.506390855,0.987162037,0.353338841,0.88257935,0.765176309,0.763736075,-0.794077718,0.999999421,0.041933819,0.041933819,0.999999421,0.834463938,-0.525981361,1,0.346283089,0.895654885,0.753782542,-0.4754317,0.763671943,-0.103809646,-0.103809646,0.763671943,0.477254453,-0.699174838,0.763736075,0.679158341,0.853336322,0.998567779,-0.794050742,-0.103809646,-0.103809646,-0.794050742,-0.956478526,-0.040078173,-0.794077718,0.210740818,-0.844473199,-0.473247104,0.041933819,0.041933819,1,0.834464449,-0.525897887,0.999999421,0.346234668,0.895622808,0.753689264,1,0.041933819,-0.081048327,-0.103809646,0.041933819,-0.056671769,0.043741702,-0.103958538,0.041933819,-0.081048327,-0.103809646,0.041933819,-0.056671769,0.043741702,-0.103958538,0.834464449,-0.525897887,0.999999421,0.346234668,0.895622808,0.753689264,-0.013870184,0.834463938,-0.168188385,0.819893736,0.469202585,-0.525981361,-0.948288907,-0.368057969,-0.696341324,0.346283089,0.895654885,0.753782542,0.247248276,0.677636234,0.848654647,0.093023256,0.046511628,0.279069767,0.093023256,0.23255814,0.139534884,0.046511628,0,0.604651163,0.279069767,0.465116279,0,0.093023256,0.23255814,0.093023256,0.046511628,0.093023256,0.511627907,0.88372093,1,0.319014589,0.048578069,,0.340786958,0.458530842,,,0.653814614,0.450944214,,,-0.933007501,0.610231128,,154.7733179,182.6071936,,,310,0.029032258,0,0,1,2790,0,9,0,9
disclosure_z,-0.989881905,0.985320516,0.999038302,-0.989857111,-0.892180758,-0.97434766,0.989104796,-0.965927011,-0.989507428,-0.926225355,0.979178569,-0.985132768,0.9947456,0.996777832,-0.968637058,-0.990936791,0.996405023,0.907924095,0.981830977,-0.975432409,0.979915385,0.999029298,0.928096847,-0.96098745,0.997150829,-0.980904747,-0.990269074,0.97815732,-0.979912481,-0.841350085,-0.967264077,0.991817748,-0.923966178,-0.967776404,-0.945088951,0.998844926,-0.958564416,0.997126453,0.970812945,-0.987993174,-0.897779035,-0.972789835,0.984754243,-0.970457486,-0.990442349,-0.919127254,0.970595147,-0.987744173,0.990265121,0.999243158,0.891744048,0.977827417,-0.981062588,0.970347915,0.996695964,0.939624495,-0.974248602,0.990828188,-0.987620255,-0.984941,0.876407188,-0.861528143,0.948003133,0.907198574,0.876186764,-0.830351457,0.918559021,-0.864591532,-0.900389783,-0.970589153,0.946052577,0.974660668,0.930687476,-0.960991118,0.977621275,-0.97388185,-0.970314232,-0.932305441,-0.974224823,-0.937164651,0.988291462,-0.968099976,0.993764963,0.979999724,0.980455275,0.898133975,-0.913481682,0.983029976,-0.944693648,-0.972401387,0.926029865,-0.960316145,0.995814787,-0.980141154,-0.989729069,-0.942356581,0.92911057,-0.941014538,-0.911868569,-0.949608507,0.993348295,0.96209816,-0.973120883,-0.988614929,0.985085998,0.952380952,0.114285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076190476,1,0.353690022,0.11542583,,0.239609504,0.27928799,,,0.043491129,0.021999384,,,0.023198449,0.078386958,,23.43600764,13.8677584,,,662,0.006042296,0,0,1,2648,0,4,0,4
echocardiogram,-0.837830881,0.589787583,0.910895356,-0.907417275,-0.413497826,-0.475659047,0.843482653,-0.405869056,-0.918591927,-0.266920164,0.611550698,-0.698184998,0.877320062,0.804482282,-0.246678468,-0.948978341,0.829306027,0.668066355,0.739105678,-0.829425601,0.720251031,0.951877183,0.01361334,-0.264231328,0.948540375,-0.608893023,-0.930614492,0.349532674,-0.623132824,0.240024107,0.146189356,0.375838165,0.328009371,-0.418784242,-0.810855727,0.985726585,0.007967649,0.863785547,0.18510827,-0.811243324,-0.595563556,-0.699344574,0.88380342,-0.641680711,-0.925352886,-0.014080226,0.362694314,-0.879496274,0.693197427,0.965237729,0.415836496,0.43258315,-0.774087589,0.388034041,0.891500383,0.407614814,-0.63073971,0.68371834,-0.876768009,-0.71079074,0.53312724,-0.460274785,0.828873204,0.54793963,-0.444844184,0.195027459,0.727885105,-0.102910215,-0.665263954,-0.680057527,0.674871501,0.595578731,-0.254962501,0.167065952,0.827994988,-0.18495754,-0.769300708,-0.485353493,-0.822708489,-0.122180942,0.368556998,-0.747534467,0.688515567,0.825794973,0.572761342,-0.548146448,0.301906187,0.845627954,-0.072579372,-0.76233908,0.178995372,-0.438819116,0.838791983,-0.73624728,-0.84610207,-0.760457702,-0.200341242,-0.58337725,0.161343678,-0.004283784,0.873171826,0.198201959,-0.396716983,-0.931480332,0.550265323,0.416666667,0.583333333,0.5,0.583333333,0.166666667,0.583333333,0,0.333333333,0.166666667,0.166666667,0.083333333,0.5,0,0.5,0.166666667,0.416666667,0.416666667,0.166666667,1,0.958333333,1.314029185,0.169730565,0.7315381,0.180404706,0.270375416,0.14331294,0.274725951,0.078259863,0.206718995,0.24567843,0.332432054,2.341542814,3.11913213,-1.464852008,0.029840345,0.094363608,0.328244275,,131,0.083969466,0,0,1,1441,0,11,0,11
ecoli,-0.060873528,0.60199006,0.911855122,-0.793740737,0.365626048,-0.625135306,0.33381184,0.309226706,-0.466665059,0.559774979,0.746056223,0.240596051,0.970066644,0.839390927,0.522972787,-0.335275298,0.251425392,0.736096819,0.614060089,0.676032421,0.831886692,0.742500392,-0.102398708,0.426876453,0.800476462,0.026108054,-0.453902945,0.342672819,-0.238858776,0.929201525,0.044315814,0.89471956,0.770025418,0.227736638,0.01521366,0.957951694,0.550881962,0.664101609,0.191043609,-0.844629871,0.077627249,-0.757005736,0.05093667,0.025779443,-0.66114667,0.673281872,0.516827598,-0.026359028,0.872687984,0.96296683,-0.042448354,0.622812716,0.00295233,0.00391491,0.519991559,-0.672115014,-0.381207748,0.021166879,-0.768814733,-0.837304563,0.311802653,0.963326877,0.85867855,0.494902364,-0.130039963,0.83282406,0.635758033,0.44791393,-0.08276446,0.255028387,0.280836144,0.847428186,-0.449247835,-0.133103223,0.213987265,-0.536871418,-0.777256293,0.82516738,0.4713779,-0.197052671,0.78429985,0.584758312,0.409344584,-0.11284622,0.396624449,-0.025885087,0.71659221,0.868007804,0.392588072,-0.127729498,-0.372311881,0.039217755,0.289209292,-0.370333633,-0.710364187,0.177148046,0.068148449,0.553259979,0.733783823,0.552213169,0.78044966,0.382776281,0.298094366,-0.153028094,0.790476447,0,0.148148148,0.37037037,0.222222222,0.074074074,0.222222222,0.296296296,0.074074074,0.518518519,0.37037037,0.814814815,0.148148148,0.592592593,0.592592593,0.37037037,0.592592593,0.518518519,0.666666667,0.740740741,1,5.90806847,3.292701317,1.215915404,0.174819481,0.228410118,0.22986719,0.28951777,0.222087449,0.230041349,0.469582045,0.288855778,44.93893629,108.5314063,1.195557847,0.155133739,0.410445866,1.241071429,,336,0.023809524,0,0,1,2688,0,8,0,8
elusage,-0.776506484,0.478592757,1,-0.23859233,-0.504347826,-0.242350554,-0.242350554,-0.129283389,-0.820791641,0.101678108,0.447634148,-0.615331808,0.479405034,1,-0.05090438,-0.776506484,-0.004816908,0.769336384,-0.198286817,-0.198286817,0.569869577,0.952217492,-0.007093822,-0.075142975,0.7201373,-0.042334096,-0.776506484,0.478592757,-0.839172872,0.222201054,-0.211618961,-0.211618961,0.391799023,-0.12172453,-0.434900467,0.989879206,-0.064298261,0.999465914,0.478592757,-0.23859233,-0.504347826,-0.242350554,-0.242350554,-0.129283389,-0.820791641,0.101678108,0.447634148,-0.615331808,0.479405034,1,-0.18288712,-0.067321214,-0.067321214,-0.388939972,-0.065435438,0.279730278,-0.866408666,0.181682893,-0.83002317,-0.23859233,-0.198286817,-0.198286817,0.690872418,0.685321916,-0.255987796,0.203208403,0.906559878,0.229824561,-0.504347826,1,-0.167531677,-0.18952829,-0.198286817,-0.070943024,-0.198286817,-0.242350554,-0.242350554,-0.167531677,-0.18952829,-0.198286817,-0.070943024,-0.198286817,-0.242350554,-0.242350554,0.483386468,0.189994685,0.377240375,0.398114992,0.391589768,-0.129283389,0.075917981,-0.146374952,0.623633788,-0.113113977,-0.820791641,-0.476263698,-0.334782609,-0.432265446,0.101678108,-0.088690202,0.984917934,0.447634148,-0.052784134,-0.615331808,0.479405034,0,0.315789474,0.157894737,0.157894737,0.157894737,0.157894737,0.105263158,0.736842105,1,0.684210526,0.052631579,0.263157895,0.210526316,0.210526316,0.526315789,0.052631579,0.157894737,0.105263158,0,0.868421053,0.011267954,-0.07889151,,,,,,,,,,-1.282022489,0.006166371,,30.22727273,23.59090909,,,55,0.054545455,0,0,1,165,0,3,0,3
energy-y1,-0.14605605,0.633353052,0.993221594,-0.874539381,-0.025547539,-0.66072163,0.112349234,-0.40960251,-0.381825603,0.473609933,0.717851912,0.295150657,0.747839676,0.983990802,-0.356908559,-0.155832565,0.289706054,0.32876647,0.532116755,-0.002563497,0.387370477,0.887609796,0.663554035,-0.330733248,0.819985181,-0.345645304,-0.178294093,0.582061803,-0.746518951,0.550886954,-0.31355828,0.678790015,0.156005917,-0.579607323,-0.003424034,0.98220751,-0.090878155,0.94974324,0.549111471,-0.84938139,-0.092784185,-0.671092979,0.045743105,-0.45508073,-0.383506118,0.482653212,0.669379572,0.289250016,0.70147803,0.994772161,-0.125323636,0.675408515,-0.269682577,0.341322547,0.492194799,-0.304628811,-0.80541822,-0.099348096,-0.822314372,-0.842340613,0.457694248,0.72096255,0.790018028,0.111004867,0.17205954,0.488470318,0.271440545,0.41964389,-0.139225916,0.11764388,0.74827173,0.525312871,-0.041610867,-0.372886518,0.209520777,-0.426460253,-0.699803123,0.53901156,-0.134761824,-0.129272858,0.588415989,-0.127412971,0.533843796,0.001326454,0.292029725,-0.056161514,0.070544755,0.147814021,0.040093693,-0.498211923,0.372517149,-0.554647622,0.592977182,-0.562492077,-0.389058379,0.072853846,0.873792207,0.071576935,0.47110591,-0.018888826,0.969079838,0.638788296,0.000194852,0.268182194,0.672178187,0,0.37037037,0.074074074,0.222222222,0.222222222,0.296296296,0.666666667,0.074074074,0.592592593,0.666666667,0.518518519,0.444444444,0.518518519,0.296296296,0.518518519,0.666666667,0.518518519,0.444444444,0.222222222,1,0.249281886,0.091143968,0.229359539,0.236017188,0.550694928,0.154600724,0.485586417,-0.030852389,0.467525237,0.17905093,0.619763352,-1.221664801,0.601272099,-1.723812589,0.098234848,0.277850445,0.884114583,,768,0.01171875,0,0,1,6912,0,9,0,9
energy-y2,-0.207390778,0.749819676,0.982791199,-0.880027148,-0.465067316,-0.772287942,-0.06991952,-0.04521286,-0.517151358,0.379623023,0.824042602,0.39688182,0.93896172,0.969949039,0.005790183,-0.293349235,0.531749719,0.710362251,0.622714245,0.197524373,0.938750066,0.905839491,0.758079556,0.028768279,0.736949285,-0.028383348,-0.322783372,0.649292809,-0.534720306,0.087223688,-0.36173097,0.527898405,0.218268443,-0.275593588,0.38367146,0.946541795,0.348562791,0.843978154,0.590328778,-0.917082492,-0.576061976,-0.832714625,-0.187983107,-0.146450995,-0.574625659,0.30471348,0.753106641,0.331801674,0.893491208,0.994050353,0.74146611,0.921718409,0.25992636,0.405485436,0.772948156,-0.045622242,-0.616102608,-0.095046499,-0.748470691,-0.927583099,0.848939167,0.677253772,0.677944287,0.758607066,0.315827805,-0.010114932,0.248014983,-0.249246412,-0.630563112,0.407083513,0.493440886,0.777167095,0.090398682,-0.46620471,0.020016744,-0.60198443,-0.854677658,0.279238983,0.183943989,0.007995852,0.376262375,-0.054466845,0.145022478,-0.250765251,0.802478876,0.820518281,0.237656776,0.770458618,0.141113129,-0.194087785,0.494413502,-0.249848276,0.48945496,-0.329969049,-0.593899475,0.453404836,0.934782693,0.488283238,0.271678751,0.446204233,0.892922632,0.698552613,0.503051165,0.310989803,0.867610566,0,0.068965517,0,0.068965517,0.206896552,0,0.068965517,0.275862069,0.068965517,0.344827586,0.275862069,0.137931034,0.275862069,0.482758621,0.413793103,0.137931034,0.206896552,0.551724138,0.413793103,1,0.278348741,0.120936792,0.497494951,0.231620566,0.544121174,0.137014237,0.451564323,-0.032081621,0.467942029,0.174134,0.622665417,-1.180772108,0.577786712,-1.355778359,0.083043876,0.234883887,0.747395833,,768,0.01171875,0,0,1,6912,0,9,0,9
fertility,-0.93054203,0.782336493,0.990607651,-0.903651198,-0.896947116,-0.825174917,0.607323111,-0.86858692,-0.933344527,-0.652993708,0.689139752,-0.912737718,0.934796657,0.977314442,-0.646699908,-0.941002417,0.925181658,0.955554455,0.842204647,-0.468306583,0.964982585,0.997844891,0.633043367,-0.541552602,0.992966832,-0.826444789,-0.937633419,0.71085741,-0.831591211,-0.637586864,-0.655094242,0.885306626,-0.48620989,-0.660758388,-0.880403539,0.973771123,-0.587413321,0.938985678,0.663123285,-0.869354139,-0.897606081,-0.825563827,0.533842756,-0.903965892,-0.939372583,-0.580402413,0.606276465,-0.933289456,0.888944545,0.995809295,0.898856902,0.794274649,-0.660521939,0.828679017,0.932117156,0.818687495,-0.760251971,0.891069213,-0.921324624,-0.841828444,0.791760245,-0.484212291,0.906090188,0.959518886,0.618808118,-0.559451557,0.947937083,-0.800373939,-0.890343737,-0.498373572,0.780619122,0.827431996,0.593364355,-0.56816083,0.826508539,-0.778364244,-0.813312484,-0.292923302,-0.486985824,-0.874994939,0.877686247,-0.417481855,0.784835197,0.484353992,0.956619236,0.465488772,-0.363745704,0.978743728,-0.711203332,-0.918781179,0.649998981,-0.558078852,0.989029615,-0.83652418,-0.934163126,-0.837442957,0.583356146,-0.821221908,-0.529678317,-0.476141662,0.869299319,0.553851261,-0.784883264,-0.938529102,0.855539474,0.509803922,0.666666667,0.156862745,0.235294118,0.274509804,0.274509804,0.039215686,0.039215686,0,0,0,0,0,0,0.078431373,0.156862745,0.274509804,0.235294118,0.470588235,1,1.109640132,0.194996322,2.338738329,0.170046032,0.310511036,0.229300455,0.328202218,-0.029389323,0.148856585,0.100820467,0.320782093,0.062419313,1.783130737,3.46969697,0.012000102,0.035999966,0.12,,100,0.1,0,0,1,1000,0,10,0,10
flags,-0.825410424,0.915146257,0.974726349,-0.943881577,0.352689867,-0.78292166,0.888842689,0.295716516,-0.926840371,-0.621245595,0.909139501,-0.098657564,0.983789274,0.906206218,-0.57244725,-0.902767691,0.775071746,0.153711327,0.872276412,-0.538526182,0.219523248,0.930891742,0.280076082,-0.561244592,0.561526423,-0.748376833,-0.931193576,0.813272314,-0.901967306,0.633093551,-0.648993831,0.982582178,0.611885973,-0.751884342,-0.832211164,0.998649028,0.179122268,0.959164541,0.677510861,-0.90630849,0.177893602,-0.803492697,0.784631855,0.106138762,-0.96010128,-0.467739782,0.804652774,-0.245463892,0.933639429,0.974060087,-0.392589614,0.732561917,-0.878898152,-0.335093761,0.91606273,0.700394892,-0.892569875,0.044246567,-0.953166421,-0.820150836,-0.087972885,0.64280125,0.907027433,-0.094186744,-0.610048399,0.638184497,0.724695405,0.468775566,0.001371604,-0.630840099,0.002559519,0.782440557,0.395031638,-0.636664551,0.464655897,-0.759063409,-0.776387697,0.627638875,-0.720093739,-0.828331626,0.978184593,0.203093194,0.938437972,0.645480013,-0.042955883,-0.681792342,0.623554607,0.768382534,0.406986845,-0.082000066,0.474555342,-0.745116445,0.274423552,-0.875317613,-0.947243037,-0.836692615,-0.241305184,-0.701953422,-0.296151419,0.193156627,0.951913771,0.668062276,-0.015174228,-0.37188916,0.838916312,0.382978723,0.382978723,0.340425532,0.255319149,0.127659574,0.042553191,0.127659574,0.127659574,0,0.255319149,0.127659574,0.212765957,0.212765957,0.085106383,0.170212766,0.042553191,0.382978723,0.29787234,0.212765957,1,2.410703915,2.011455167,0.817778089,0.178624083,0.288416229,0.162188794,0.290459289,0.032960083,0.177490484,0.064586528,0.250141611,10.4512401,22.19814515,-0.671867275,0.075542109,0.39973136,2.190721649,,194,0.149484536,0,0,1,5626,0,29,0,29
fri_c0_250_5,-0.942596292,0.891913436,0.988095336,-0.96717212,-0.496980102,-0.723515438,0.870772073,-0.518553034,-0.958568753,-0.306624446,0.885249245,-0.70553148,0.98204566,0.956271233,-0.756630835,-0.964492073,0.946673056,0.666829824,0.789918562,-0.81483489,0.688145727,0.977147764,0.146981385,-0.74448235,0.849597628,-0.893556699,-0.963906618,0.827271341,-0.879778091,-0.129249442,-0.678027223,0.864922211,-0.134396487,-0.791059206,-0.56563421,0.996214371,-0.425817105,0.954050343,0.750496776,-0.950676134,-0.586929838,-0.719370032,0.844420515,-0.607881088,-0.971134119,-0.210634115,0.819153413,-0.762344436,0.947931303,0.987557954,0.481886549,0.731564409,-0.844840608,0.500179093,0.967390628,0.364839309,-0.870360842,0.695932461,-0.961474483,-0.9148321,0.387625119,-0.298358243,0.932116866,0.621900209,-0.150237906,-0.128715614,0.836245115,-0.35977841,-0.659507494,-0.836216057,0.408222349,0.690123316,0.088536521,-0.641976096,0.756122178,-0.729096566,-0.706658319,-0.331698792,-0.789318306,-0.290785105,0.835914027,-0.623292473,0.89031472,0.809894671,0.641365206,-0.224752798,-0.122025422,0.841995067,-0.385690761,-0.68187896,0.252163916,-0.787036236,0.765707456,-0.913841017,-0.959043066,-0.579591728,-0.086231835,-0.409674066,-0.106916335,-0.403663062,0.944931891,0.740733068,-0.615304876,-0.798236388,0.897796244,0.540540541,0.27027027,0.594594595,0.324324324,0.162162162,0.162162162,0.162162162,0.162162162,0.27027027,0,0,0,0,0.054054054,0.054054054,0,0.27027027,0.27027027,0.702702703,1,0.038349399,-0.065223706,,0.229512073,0.310026447,,,-0.009766351,0.058632298,,,-1.161644418,0.058528192,,-9.24E-18,1.36E-08,,,250,0.024,0,0,1,1500,0,6,0,6
glass,-0.448573606,0.78355302,0.964633699,-0.89526364,0.267617708,-0.818772541,0.509990935,0.298776142,-0.816345175,0.273632933,0.838666833,0.086030751,0.954218925,0.91792398,-0.07248619,-0.536030407,0.457323685,0.482503115,0.669278632,0.186840587,0.500731578,0.826468295,0.083945346,-0.137753328,0.751095858,-0.347727415,-0.556984264,0.64024176,-0.662367669,0.771479544,-0.563716112,0.899893652,0.753909263,-0.390848698,-0.120271959,0.989811967,0.300525824,0.861977052,0.549454072,-0.873225321,0.083352854,-0.819430726,0.342904251,0.118624897,-0.880854986,0.38567566,0.704640186,-0.029171895,0.894746057,0.985281546,-0.184551398,0.718398872,-0.406832953,-0.219039198,0.805837994,-0.236516112,-0.701762362,-0.092736131,-0.898192238,-0.829737188,-0.028335075,0.917191992,0.937421382,0.241211358,-0.262227968,0.70830443,0.55554982,0.418179776,-0.013893744,-0.303811591,-0.007441635,0.833077903,-0.219557203,-0.629067888,0.256070632,-0.745150351,-0.799660339,0.867944976,-0.056394312,-0.265670403,0.855570558,0.361105778,0.623661406,0.244345492,0.200779905,-0.2162971,0.696775121,0.649241859,0.433294403,0.013113723,-0.240398199,-0.471281394,0.323931766,-0.716369936,-0.879470694,-0.047397405,0.291284175,0.153751925,0.4580916,0.27949797,0.886873422,0.616988367,0.174440813,-0.08821174,0.837554344,0,0.620689655,0.275862069,0.137931034,0.206896552,0.206896552,0.206896552,0.482758621,0.206896552,0.620689655,0.275862069,0.275862069,0.620689655,0.344827586,0.344827586,0.275862069,0.413793103,0.482758621,0.75862069,1,2.06248109,1.581396253,1.045070169,0.058133594,0.331715599,0.168112327,0.405801281,-0.047453693,0.313899109,0.147929053,0.44802306,8.659418743,15.30756909,-0.261569692,0.154205557,0.462616839,1.542056075,,214,0.046728972,0,0,1,2140,0,10,0,10
