"oz1","oz2","oz3","oz4","oz5","binaryClass"
0.79204,-1.4459,0.539501,-1.433013,-1.220097,P
-0.895807,0.380855,1.311079,-0.368196,-0.658033,P
0.692223,0.957567,-1.163208,0.778,-0.644298,N
-1.418476,0.413566,0.938156,0.942308,0.543494,P
1.013285,0.261964,0.432925,-1.464725,0.161159,P
-0.009238,0.207778,-1.748517,-1.134364,-0.58008,N
1.746641,0.150353,-1.334419,1.227037,1.336201,N
-0.985947,0.959261,1.146276,-1.638492,0.649859,P
-1.127754,-0.606742,1.529213,-0.608069,-1.812269,P
0.589667,0.880627,-0.110238,0.582739,-1.79189,N
0.986026,-1.624937,0.510224,0.710975,-1.533908,P
1.413125,-1.181408,-0.208412,-0.857819,1.429956,P
1.203227,1.08619,-1.488526,-0.008822,-1.722644,N
-1.501388,-1.615396,-0.251079,0.448713,0.748533,P
-0.007627,-0.147243,1.204425,0.029252,0.908197,N
-1.705938,-0.013109,-1.440854,1.103155,0.41786,N
0.740175,-1.604392,-1.638412,-1.496014,-0.696049,P
-0.063409,0.047564,1.205533,0.555289,-0.917383,N
0.978343,-1.139894,-0.223113,1.418073,-1.634962,P
-0.942365,-0.946446,1.036103,1.009269,-1.112105,P
-0.039596,-1.001634,-1.759189,1.646334,0.840262,N
-0.046635,1.167281,-0.540572,0.030659,0.946479,N
1.779297,0.103749,-0.927623,0.204366,1.00522,N
-1.225976,-1.05647,-0.265063,0.172101,-0.467447,P
0.262293,-1.031102,1.496718,-0.455979,0.388773,N
0.753397,1.194797,-0.002943,1.103786,-1.394976,N
-1.283744,1.293342,-0.76698,-0.439597,-1.603238,P
-0.076243,-0.000194,-0.959898,1.240676,1.659473,N
0.069283,-0.036807,-0.077318,0.779396,0.133102,N
-0.105281,0.159793,-0.32606,-1.739224,-1.513503,P
-0.163276,-0.975398,-0.47503,-1.279118,-0.976353,P
-0.21736,1.428973,-0.752449,0.855379,1.042603,N
0.813823,0.271598,0.647338,1.284433,-0.83788,N
1.054013,1.704913,-0.505245,-0.92723,-0.531493,P
1.093694,0.981387,1.42879,0.505008,0.019335,N
0.63312,1.716696,-0.094397,-1.457248,-0.576955,P
0.919298,0.878362,-1.017736,0.348173,0.438639,N
0.408434,1.486222,0.268436,-0.365058,1.610366,N
-0.305969,0.722539,0.611398,-1.551668,-1.294399,P
-0.001908,1.405888,-1.372606,0.681687,0.244758,N
0.39139,-0.269283,1.411996,-1.348489,0.945102,N
0.447709,-0.638482,0.947746,-0.558973,-1.486831,P
-0.380993,-0.898888,-0.883853,-0.893318,-0.419864,P
-0.395737,1.475892,-1.078274,0.654607,-1.208587,N
0.905417,0.666482,-0.412074,-1.151834,0.892764,N
-1.195277,1.400844,0.736341,-0.716304,-0.382547,P
0.032361,-0.097852,1.118476,1.309173,-0.434597,N
0.894958,0.125416,-0.264333,-1.092333,0.755048,N
1.450766,1.587823,1.207041,0.738168,1.254143,N
1.187266,-1.593115,-1.131562,0.958934,-0.225395,P
-0.417112,-0.44342,0.855037,1.153192,0.503008,N
1.259256,0.518387,0.297673,0.833634,1.667908,N
0.558588,1.598988,-0.848386,-1.097046,0.026053,N
0.696172,0.964375,-1.057246,0.875246,1.082679,N
-1.673071,1.418263,-1.132945,1.200408,0.857457,P
1.464858,-0.932264,-0.04704,-1.630589,-0.248504,P
-0.887502,0.699103,1.286233,-1.326161,0.247613,P
1.094867,1.181562,-0.36484,-1.543185,-1.323343,P
-0.859295,0.927314,-0.712034,0.787954,0.024733,N
1.512398,-1.256984,-0.17284,-0.611703,-0.278101,P
1.584241,-1.623032,-0.818306,1.265269,-1.146687,P
-1.485103,-0.81796,1.588109,-1.106776,0.281,P
-0.052212,-0.580073,-1.392517,-0.699131,-0.516618,P
0.171369,-1.766274,-0.753578,0.392614,-0.077346,P
-0.606666,1.033049,0.854657,1.441514,1.506727,N
-0.452596,-1.262977,-0.93629,0.460486,-0.0333,P
1.070933,1.269857,-1.631535,0.589323,-1.600879,N
-0.356216,0.304678,-0.03918,1.708833,-0.009635,N
-1.151031,-0.501211,-0.354229,0.352748,1.618926,P
-0.3363,-1.276639,0.552015,0.519069,0.134695,P
1.105684,-0.393802,-1.131588,-1.571447,1.142709,N
-0.909351,-0.564841,-1.383338,-0.181025,0.415276,P
1.351404,-0.870748,1.03204,-0.253388,0.045006,N
0.382024,1.707166,1.31362,-0.372946,-1.111374,N
1.548305,0.490182,1.119533,-1.02557,0.105768,N
-1.048641,-1.74793,1.252804,0.681876,0.070352,P
-0.814199,0.295073,-0.49674,-1.609063,-0.864435,P
1.640461,0.719347,0.247845,-0.567839,-1.835552,P
0.587027,-0.038837,0.024804,-0.672157,-1.321544,P
-0.482116,-0.335764,0.971958,0.148999,0.791778,N
-0.159219,1.171815,-1.018036,0.271591,-0.036792,N
-0.557806,-0.580592,1.383214,0.67548,-1.633162,P
-1.561354,-0.931298,-0.345046,0.780065,-0.536741,P
-1.691418,-0.548159,-1.08836,-0.955822,0.969642,P
0.903279,0.23298,-0.86661,-0.110154,1.358902,N
-0.922677,1.06384,-0.290808,0.260644,-1.347818,P
1.601338,1.555582,-1.025701,0.777924,-0.767261,P
-0.625588,0.992298,-1.023401,0.138127,-0.244689,N
-0.136679,-0.17439,1.356144,0.585538,0.972175,N
0.767161,-0.796902,1.352383,1.476984,1.47857,N
-1.548867,-0.303696,-1.313154,0.282558,0.971442,P
-1.628898,-0.405391,-1.630821,0.699461,-1.792441,P
-1.317005,1.076125,1.365112,1.136806,0.499058,N
0.594607,-0.264624,0.596672,-1.699128,0.995218,P
0.734717,-0.167592,-0.817671,-1.168501,1.267936,P
0.071105,0.110441,0.20413,-0.682028,-1.668361,P
0.989043,1.289341,-0.46158,1.59276,0.892652,N
-0.213876,0.253492,-0.167224,0.347628,-0.091745,N
1.237973,-1.195138,-1.460812,-0.712326,0.836587,P
0.986639,1.266291,0.533219,0.838388,1.212861,N
1.68417,1.621798,0.05893,-0.283406,0.586888,P
0.057152,1.635815,0.813783,1.535995,0.065354,N
0.410919,-0.646448,0.402499,0.612427,-0.862069,P
0.273951,0.349077,0.888383,0.79446,1.280272,N
-0.587404,0.59021,-0.825408,0.897778,0.308319,N
1.614609,-1.579549,-1.17947,1.226182,1.451446,N
-0.5137,-1.561644,1.222339,0.946884,-1.764734,P
-0.148162,-1.155408,0.035578,1.090585,-0.819238,P
-1.047784,-0.810353,1.386942,1.521895,0.95795,N
-0.085423,-0.727855,1.425071,1.429691,-1.190423,N
1.310649,0.515895,0.328097,-0.491727,1.303785,N
0.659419,0.350993,-1.092517,-0.584404,1.425956,N
1.399481,1.122159,-0.638493,-0.026475,-0.856299,P
-1.711769,-1.490107,0.005759,1.111664,0.123959,P
1.541752,-0.565296,-0.651364,0.414239,1.35365,N
-0.317641,-1.488809,1.667444,0.724959,0.345483,N
0.582263,-0.516277,1.031343,0.792777,-0.889393,N
0.73784,1.31722,0.972749,-1.191796,1.187418,N
-0.65866,0.715362,0.119023,0.246014,-1.806925,P
-1.490952,0.203283,0.710555,1.535867,-0.796522,P
-0.11258,0.858685,0.667687,0.301096,1.123386,N
0.566427,1.296459,0.246929,-0.191221,-0.803526,N
0.356669,0.840998,-1.137576,0.778158,0.15574,N
-1.448863,-0.231628,1.282175,0.489666,0.82581,N
-0.667134,-1.63776,-1.201781,-0.806757,1.313088,P
-0.067631,0.135894,0.595124,-0.843067,1.071387,N
1.274088,1.115716,1.520332,-1.041803,-0.727919,P
-0.696805,-0.895904,0.952272,-0.349985,-0.571234,P
1.438995,0.33819,-1.798439,-0.011437,0.222652,N
-1.590539,-0.21815,-0.332407,-0.315101,0.818121,P
1.164782,-1.421996,-1.709593,-1.311722,-0.205733,P
1.024048,0.862467,-0.766146,-1.157717,1.0567,N
-0.361844,0.758102,0.992445,-1.721024,-1.331868,P
-1.247647,0.851383,-0.062614,0.496698,-0.546996,P
0.105123,1.066943,1.047567,-1.329781,0.890949,N
1.026098,-1.20022,-1.357877,0.856985,1.096832,N
-1.583542,0.949131,-0.11308,0.908274,0.933211,P
0.290861,-1.595164,1.24491,-1.243271,-0.039297,P
-1.010129,0.694234,1.289606,1.651969,1.699018,N
1.125787,0.267162,-0.114741,-0.615072,1.522363,N
0.116638,1.058894,-0.431866,-1.622096,0.17021,P
0.2966,-1.463808,-0.031246,0.941229,1.487746,N
0.897108,-1.762953,-1.178825,-0.888798,0.018836,P
-1.41889,0.342525,-0.178096,0.547541,-1.372889,P
0.104454,-1.519567,1.37006,1.332444,-0.41306,N
0.118587,-0.708574,-1.619394,1.441207,-0.089485,N
-0.684542,-1.526905,1.246633,-0.86408,-1.259597,P
-0.556364,-1.197608,-0.885898,-1.630497,-1.752551,P
-0.555549,1.176853,0.404192,-0.646465,-0.345607,P
0.84903,-1.037557,-0.449261,-0.427882,0.27624,P
-0.972542,-0.305269,0.384007,-0.712963,0.473661,P
1.344424,0.667699,-1.09968,-1.158091,-1.783389,P
-0.062517,0.425159,0.700871,0.950658,-1.18157,N
1.30001,-0.225346,-1.737303,-0.818154,-1.526358,N
-1.589212,1.100234,-1.017978,-1.614627,-1.134412,P
-1.009629,1.098449,-0.393185,0.615853,1.634996,N
1.216236,1.661413,-0.441945,-0.664082,1.664462,P
1.638496,-0.932755,-1.73573,1.351673,-0.018477,N
0.605897,-1.234454,1.032787,-0.566598,1.034933,P
0.665479,-0.835195,0.623024,-1.721924,0.780698,P
-0.198128,0.007184,1.668232,-0.391066,-1.197572,N
-0.147316,-0.786049,1.613314,-1.342832,-0.263877,P
-0.904101,-1.310728,0.992815,-0.415665,0.273116,P
-0.06532,-1.636857,0.815962,-0.779124,-1.272264,P
0.408346,1.645289,-1.112562,-0.291446,-0.65024,N
-0.502347,1.120583,-0.21222,-0.750066,-0.441486,P
-0.940008,0.27992,1.613556,0.631651,-0.395655,N
-0.368071,-0.593283,-1.434136,-0.569653,0.861619,N
-1.700857,0.135705,-0.857281,1.592884,-0.724478,P
-0.205241,-0.971258,1.566781,0.065888,-0.262271,N
