f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,clase
-0.36182,-0.09339,-0.56129,-0.20586,-0.28113,-0.36265,-0.08595,-0.5748,-0.16999,-0.33081,-0.37628,-0.069,-0.53566,-0.24546,-0.39225,-0.36496,-0.10678,-0.53073,-0.40227,-0.35477,-1.90533,-0.50206,0.62305,-0.52744,-0.02262,-1.59491,-0.61656,0.56442,-0.61743,-0.17432,-2.32197,-0.54228,0.62372,-0.55384,-0.04671,0.43802,0.1275,-0.15166,-0.26879,-0.31251,-0.34219,sn
-0.31737,-0.26704,-0.70814,0.03833,-0.13051,-0.31824,-0.26891,-0.70025,0.04166,-0.16358,-0.32158,-0.29888,-0.71027,-0.10638,-0.14996,-0.30086,-0.36271,-0.71711,-0.31515,-0.0629,-1.75859,-0.61139,0.65793,-0.58227,-0.20256,-1.39417,-0.8225,0.64877,-0.70817,-0.4477,-2.11162,-0.72463,0.67794,-0.62647,-0.34639,0.33541,-0.07078,-0.35869,-0.45067,-0.50223,-0.51754,cn
0.40687,-1.08786,-1.02478,0.67457,0.93044,0.39097,-1.06461,-1.03082,0.95155,0.89569,0.31618,-1.03865,-0.98596,1.25775,0.80412,0.27158,-1.04124,-0.93878,1.44031,0.76961,-1.71874,-0.79732,0.70354,-0.6312,-0.89087,-1.36783,-0.97659,0.69393,-0.75428,-1.09871,-2.05693,-0.94339,0.71103,-0.67916,-1.06938,-0.71324,-1.08674,-1.1647,-1.15067,-1.13857,-1.13171,cn
1.11953,-1.46879,-1.062,1.9842,0.98524,1.14179,-1.45091,-1.06312,1.91826,0.88979,1.09368,-1.43533,-1.01002,0.5152,0.78513,1.13201,-1.50953,-0.98721,0.01108,0.89986,-2.00682,-1.01455,0.63212,-0.65521,-1.50802,-1.62528,-1.09806,0.65965,-0.7644,-1.67195,-2.39579,-1.01691,0.70325,-0.6836,-1.47505,-0.6605,-1.20256,-1.22822,-1.22169,-1.20175,-1.1843,sn
1.38055,-1.58387,-1.09691,2.2405,1.20563,1.34307,-1.5431,-1.10257,2.46835,1.12426,1.18652,-1.4929,-1.0439,1.67704,0.96998,1.10217,-1.49911,-0.99678,0.47044,0.92535,-2.0456,-1.03066,0.62582,-0.65775,-1.59091,-1.61838,-1.09899,0.65467,-0.76549,-1.66524,-2.36741,-1.03041,0.70095,-0.68585,-1.56949,-0.92839,-1.37514,-1.36198,-1.32909,-1.31184,-1.30182,sn
0.93149,-1.36047,-1.04527,1.61282,0.96185,0.87971,-1.31677,-1.04624,1.63636,0.85777,0.76759,-1.28593,-0.9918,0.60413,0.71308,0.76785,-1.33648,-0.96681,-0.12816,0.77189,-1.88222,-0.98748,0.64177,-0.65306,-1.35213,-1.43888,-1.07835,0.66584,-0.76357,-1.51537,-2.22301,-1.00365,0.70789,-0.68334,-1.38932,-0.6575,-1.16231,-1.21087,-1.20342,-1.20282,-1.20284,sn
1.53267,-1.63928,-1.10604,2.07602,1.49666,1.44218,-1.58801,-1.11408,2.43945,1.41895,1.22852,-1.48972,-1.05029,2.23403,1.20097,0.94315,-1.38657,-0.96315,0.66744,0.92636,-1.81321,-1,0.64153,-0.65438,-1.46326,-1.46367,-1.09522,0.66943,-0.76582,-1.70682,-2.07882,-1.04238,0.70125,-0.68809,-1.68442,-1.37414,-1.54497,-1.45263,-1.39616,-1.37935,-1.37374,cn
-0.20445,-0.45204,-0.6861,0.17118,-0.04111,-0.20335,-0.45477,-0.69464,0.05765,-0.06903,-0.1948,-0.49551,-0.72924,-0.31779,-0.09371,-0.10897,-0.6343,-0.79313,-0.54711,0.05387,-1.57026,-0.73963,0.65156,-0.61437,-0.43145,-1.01436,-0.89963,0.64369,-0.73082,-0.67609,-1.84299,-0.80646,0.67297,-0.64936,-0.55306,0.23516,-0.2302,-0.50622,-0.56719,-0.59131,-0.63314,sn
1.08906,-1.20151,-0.93974,0.60938,1.15019,1.11876,-1.20743,-0.94669,0.72701,1.1565,1.08265,-1.1886,-0.91922,0.60476,1.1831,0.87957,-1.13047,-0.89765,0.55635,1.11971,-2.16098,-0.90687,0.50771,-0.61799,-1.06584,-1.6419,-0.94592,0.49603,-0.70866,-1.1553,-2.43025,-0.88212,0.50798,-0.61416,-1.16149,-1.05482,-1.18452,-1.18043,-1.1875,-1.19388,-1.20785,sn
3.98815,-2.14678,-1.07711,3.14388,1.77586,4.34668,-2.1874,-1.09485,2.47614,1.81753,4.2716,-2.17403,-1.06716,1.34146,1.84619,3.74187,-2.08924,-1.02332,0.67648,1.81094,-2.92691,-1.08141,0.6253,-0.65982,-2.31739,-2.56098,-1.14596,0.66163,-0.76817,-2.50187,-3.29299,-1.07408,0.70911,-0.68734,-2.26549,-1.84233,-1.62532,-1.47062,-1.40691,-1.38765,-1.38679,sn
0.55563,-1.10234,-0.9723,0.98567,0.6585,0.59376,-1.10027,-0.98658,1.03898,0.64743,0.50894,-1.06674,-0.97269,1.00333,0.60678,0.30713,-0.98748,-0.92219,0.53256,0.48036,-2.20268,-0.9348,0.65681,-0.64415,-1.12775,-1.82854,-1.03156,0.68011,-0.75623,-1.2615,-2.49551,-0.93481,0.69598,-0.67162,-1.05627,-0.35787,-0.94309,-1.04131,-1.03344,-1.03169,-1.01086,cn
1.43493,-1.51273,-0.96158,0.82845,1.26273,1.53628,-1.53666,-1.0005,1.02461,1.31037,1.43387,-1.50392,-0.98457,1.24099,1.33785,1.12332,-1.39256,-0.93154,1.15855,1.20664,-2.10309,-0.86362,0.48351,-0.54707,-1.352,-1.64676,-1.02527,0.56442,-0.71169,-1.64194,-2.34649,-0.92112,0.48741,-0.55296,-1.49104,-1.1808,-1.3522,-1.27657,-1.20505,-1.16164,-1.14021,cn
1.15704,-1.30033,-1.00445,0.35118,1.37124,1.20921,-1.31665,-1.02308,0.61898,1.34922,1.13226,-1.27866,-1.00052,1.14767,1.33172,0.81545,-1.13382,-0.9387,1.55296,1.22622,-2.09535,-0.7763,0.68583,-0.63373,-1.15581,-1.72034,-0.86966,0.65229,-0.72548,-1.23297,-2.53605,-0.85739,0.63225,-0.65125,-1.0026,-1.3898,-1.31902,-1.25357,-1.23654,-1.24628,-1.25417,cn
1.36985,-1.69314,-1.10065,2.0557,1.79806,1.40376,-1.69933,-1.12062,2.54516,1.81287,1.38138,-1.685,-1.08239,3.24167,1.83457,1.21627,-1.62415,-1.02386,3.16778,1.72457,-1.92228,-1.00303,0.59984,-0.66127,-1.48009,-1.31316,-1.09691,0.64061,-0.76982,-1.73271,-2.19193,-1.03894,0.68021,-0.68953,-1.56779,-1.80145,-1.68537,-1.52547,-1.47856,-1.45854,-1.43707,cn
1.13209,-1.28939,-1.03666,0.35859,1.20484,1.16717,-1.27518,-1.04496,0.64195,1.16306,1.06742,-1.21888,-0.99673,1.11203,1.11814,0.81191,-1.10699,-0.92286,1.40253,1.00703,-1.69066,-0.77123,0.75649,-0.61878,-1.03719,-1.33056,-0.87148,0.82307,-0.72563,-1.25232,-1.90486,-0.89648,0.75664,-0.67135,-1.08816,-1.00086,-1.30359,-1.25641,-1.23808,-1.22033,-1.23035,cn
0.78718,-1.2766,-1.03126,0.44617,1.22377,0.84019,-1.27662,-1.04,0.73695,1.20917,0.7342,-1.23335,-1.00066,1.23155,1.15762,0.48392,-1.14097,-0.94427,1.64807,1.04761,-1.44945,-0.73476,0.68793,-0.63367,-0.97822,-1.07881,-0.92271,0.70306,-0.75382,-1.25538,-1.79872,-0.92498,0.70311,-0.68194,-1.13473,-1.06737,-1.32832,-1.2638,-1.23788,-1.23188,-1.22346,cn
-0.66585,0.8582,0.46219,-0.56759,-0.95748,-0.67486,0.86719,0.55291,-0.59731,-0.96112,-0.66146,0.85247,0.58085,-0.61672,-1.03172,-0.6402,0.8223,0.4959,-0.63005,-1.04333,-0.09362,0.13568,0.05378,-0.19261,0.66646,-0.49412,0.34131,-0.04436,-0.07349,0.80568,-0.2952,0.20281,0.05653,-0.16241,0.71068,0.9102,0.98577,0.92197,0.84278,0.80225,0.79592,sn
1.37327,-1.49608,-1.06778,1.27045,1.79891,1.27161,-1.44634,-1.08094,1.63849,1.75553,1.15379,-1.39296,-1.03053,1.8763,1.62816,1.0696,-1.36684,-0.97329,1.5306,1.49086,2.29031,-1.03461,0.50185,-0.62293,-1.78465,2.12227,-0.97372,0.48054,-0.69339,-1.08727,2.06858,-0.99602,0.5814,-0.64932,-1.54551,-1.75894,-1.69849,-1.52569,-1.45787,-1.43499,-1.42487,sn
-0.62831,0.73093,0.21108,-0.56867,-0.66821,-0.64264,0.75952,0.24835,-0.57267,-0.72536,-0.6431,0.80498,0.48898,-0.57459,-0.86084,-0.62984,0.78965,0.56188,-0.63587,-0.94005,1.2224,0.18391,-0.32883,-0.0188,0.55469,0.74506,0.39965,-0.43895,0.12116,0.80824,0.8562,0.3374,-0.43032,0.09478,0.68432,0.70487,0.65288,0.60212,0.59856,0.60375,0.62834,sn
-0.62985,0.78178,0.49981,-0.57652,-0.7987,-0.63792,0.78993,0.58391,-0.60392,-0.79517,-0.63223,0.78208,0.6429,-0.61991,-0.85759,-0.61746,0.75021,0.52939,-0.61103,-0.88936,0.28863,0.16818,-0.26667,-0.03671,0.58953,0.12448,0.41737,-0.52489,0.12323,0.75607,0.04395,0.23564,-0.25289,-0.01436,0.66447,0.76683,0.80274,0.74344,0.73798,0.73111,0.74737,sn
-0.17514,-0.34962,-0.71815,-0.17574,0.50843,-0.19043,-0.30861,-0.70669,-0.0936,0.45364,-0.20595,-0.27224,-0.63681,-0.06964,0.35739,-0.2065,-0.28558,-0.57581,-0.38203,0.21793,1.58513,-0.71619,0.15171,-0.34521,-0.6612,1.19311,-0.46322,0.05435,-0.4028,0.01424,1.13969,-0.60443,0.23232,-0.41526,-0.34087,-0.34142,-0.68108,-0.74747,-0.75509,-0.76089,-0.76397,sn
-0.40133,-0.02334,-0.59955,-0.3039,0.1804,-0.43777,0.03965,-0.56263,-0.2552,0.07683,-0.46827,0.1053,-0.44865,-0.25861,-0.10404,-0.47491,0.11917,-0.4449,-0.25686,-0.20496,1.46807,-0.54536,0.16291,-0.43065,-0.24353,0.98499,-0.32674,0.25668,-0.44947,0.30374,1.0062,-0.49456,0.31218,-0.47856,-0.04276,-0.05181,-0.26638,-0.36665,-0.3936,-0.3813,-0.34648,sn
-0.04154,-0.22078,-0.45769,-0.34026,0.30537,-0.05765,-0.18579,-0.41029,-0.32449,0.25662,-0.10285,-0.13171,-0.28147,-0.41174,0.13761,-0.10474,-0.14341,-0.31906,-0.45265,0.12735,1.07624,-0.352,-0.18804,-0.22036,-0.20301,1.33786,-0.39287,-0.22556,-0.33512,-0.10625,1.0082,-0.44155,0.0079,-0.34354,-0.29362,-0.26959,-0.32019,-0.32945,-0.29472,-0.25676,-0.20208,sn
0.22304,-0.89081,-0.97896,0.55863,0.77665,0.15478,-0.83734,-0.98365,0.77123,0.64876,0.07078,-0.79106,-0.93552,0.81037,0.49073,0.0662,-0.81508,-0.90195,0.6715,0.49634,1.10979,-0.89976,0.52293,-0.6368,-0.87381,1.60413,-0.90666,0.5072,-0.7295,-0.73154,1.30757,-0.90524,0.59076,-0.661,-0.95073,-0.50635,-1.02363,-1.09524,-1.08975,-1.08728,-1.10343,sn
-0.49387,0.70576,0.46815,-0.64941,-0.30551,-0.50172,0.73037,0.49945,-0.65177,-0.34158,-0.51088,0.78725,0.68489,-0.55687,-0.41997,-0.52395,0.81908,0.75935,-0.45651,-0.49349,1.16133,0.91015,-1.50683,0.84228,0.67521,0.67443,1.25789,-1.34337,1.04717,0.95258,0.66195,0.84339,-0.99376,0.56268,0.83387,0.23113,0.39261,0.52244,0.57241,0.60346,0.6101,sn
-0.57529,0.75136,0.54923,-0.57117,-0.60968,-0.57711,0.73737,0.58248,-0.59993,-0.58908,-0.56371,0.69955,0.32526,-0.54041,-0.52573,-0.5562,0.69867,0.19693,-0.45759,-0.52335,0.57292,0.50344,-0.15063,0.06164,0.84441,0.36537,0.19322,0.22918,-0.08826,0.68277,0.77057,0.20423,-0.06982,-0.06832,0.66716,0.52369,0.72433,0.78933,0.75622,0.72736,0.70664,cn
3.20691,-1.63008,-0.94266,-0.26832,2.50896,3.22935,-1.64471,-0.9567,-0.11518,2.57928,3.2647,-1.65533,-0.89472,0.24477,2.64299,3.24092,-1.62523,-0.83321,0.66088,2.66542,2.14424,-0.87384,0.27068,-0.51075,-1.96134,2.25316,0.04555,-0.14672,-0.3804,-1.20819,1.96189,-0.64745,0.30119,-0.50177,-1.13024,-2.95282,-1.94347,-1.58137,-1.47271,-1.44268,-1.42977,sn
-0.64415,0.8621,0.28754,-0.60364,-0.62722,-0.64972,0.87067,0.30062,-0.6028,-0.60528,-0.63468,0.86271,0.22329,-0.4867,-0.56888,-0.62316,0.87402,0.19461,-0.35051,-0.58672,0.2583,0.22064,-0.35036,0.10272,0.6559,-0.60952,0.92985,-0.61426,0.64487,1.0269,-0.35231,0.8324,-0.78147,0.51725,0.97304,0.58922,0.65131,0.58441,0.52043,0.49414,0.4898,sn
0.69535,-0.96333,-0.89841,-0.04036,1.82175,0.62149,-0.9183,-0.91361,0.14122,1.80197,0.5924,-0.88069,-0.84142,0.38035,1.74674,0.54525,-0.81218,-0.77789,0.44424,1.59696,1.65973,-0.64182,0.20516,-0.47513,-0.79426,0.99081,-0.63728,0.27435,-0.57247,-0.17504,1.20405,-0.69453,0.25922,-0.49382,-0.82247,-1.92219,-1.57906,-1.33,-1.27295,-1.26247,-1.25694,sn
1.31712,-1.23266,-1.00539,-0.17537,2.30721,1.24219,-1.18689,-1.0174,0.00963,2.31528,1.21783,-1.13229,-0.91736,0.37256,2.25156,1.08494,-1.03518,-0.78569,0.58382,2.07888,1.70681,-0.89516,0.4354,-0.60621,-1.22986,1.84418,-0.2179,-0.06382,-0.43684,-0.57933,1.39126,-0.66434,0.33666,-0.54425,-0.7027,-2.65965,-1.80372,-1.48367,-1.39595,-1.38105,-1.37265,sn
-0.52584,0.49049,-0.19193,-0.50232,-0.32361,-0.53912,0.51661,-0.15176,-0.48605,-0.37296,-0.54042,0.55099,-0.11446,-0.40389,-0.41987,-0.53505,0.58554,-0.07674,-0.35838,-0.45803,0.50468,0.21285,0.15955,-0.20704,0.70476,0.14405,0.00158,0.54475,-0.30805,0.57074,0.48564,-0.09298,0.27835,-0.35143,0.47706,0.31313,0.37939,0.31045,0.24961,0.2374,0.22917,cn
-0.63818,0.86428,0.24175,-0.61083,-0.64799,-0.65036,0.88784,0.24095,-0.60621,-0.71633,-0.64574,0.94951,0.49484,-0.53897,-0.78893,-0.63627,0.96799,0.64496,-0.51982,-0.84144,0.12299,0.80186,-0.34654,0.24977,1.01406,-0.30448,0.63058,0.06072,0.15555,0.95045,-0.09099,0.60719,-0.1707,0.1057,0.93828,0.60593,0.71797,0.71357,0.69817,0.69844,0.715,sn
3.28508,-1.29158,-0.72309,-0.43631,2.03285,3.40012,-1.2914,-0.7286,-0.35302,2.07762,3.32665,-1.26217,-0.62296,-0.13208,2.03642,3.11878,-1.22268,-0.53778,0.07634,1.94713,1.88388,-0.60699,0.15995,-0.42124,-0.86835,2.10967,0.22962,-0.51737,-0.1282,-0.83077,1.83296,-0.36537,-0.04659,-0.31775,-0.76328,-2.40868,-1.50444,-1.19687,-1.11023,-1.10433,-1.10675,sn
1.57196,-1.62344,-0.96433,0.13371,1.6491,1.51,-1.61194,-0.99682,0.41546,1.58272,1.3964,-1.57455,-0.91999,0.72745,1.44543,1.41904,-1.59817,-0.84576,0.52341,1.45392,2.19445,-0.9147,0.33508,-0.55087,-1.87025,2.57728,-0.63844,-0.34873,-0.29357,-1.1791,2.20221,-0.72879,0.12913,-0.45522,-1.6475,-1.52403,-1.67876,-1.45577,-1.35,-1.33414,-1.34578,sn
-0.56566,0.35469,-0.45256,-0.37798,-0.34956,-0.58671,0.40278,-0.39878,-0.35291,-0.43548,-0.58296,0.42572,-0.35872,-0.30772,-0.49124,-0.56669,0.41252,-0.38963,-0.21277,-0.47206,-0.20557,-0.34484,0.63541,-0.47006,0.28357,-0.77977,-0.24325,0.62454,-0.46597,0.47338,-0.08001,-0.27172,0.65284,-0.48328,0.38765,0.43252,0.29424,0.12681,0.03019,0.0156,0.02531,sn
0.84072,-1.36399,-1.04561,0.36216,1.20695,0.88175,-1.37535,-1.05374,0.65561,1.18859,0.83975,-1.34613,-1.00125,1.12088,1.1424,0.76166,-1.2542,-0.90451,1.23799,1.16399,0.07417,-0.66687,0.7963,-0.6007,-0.99194,0.11752,-0.90743,0.76324,-0.74105,-1.37795,0.40298,-0.90206,0.73013,-0.67548,-1.2024,-0.98172,-1.29439,-1.25928,-1.19973,-1.17469,-1.16434,cn
-0.12373,-0.61761,-0.70486,0.44184,-0.17502,-0.08798,-0.67243,-0.75919,0.06023,-0.13814,-0.04526,-0.74516,-0.84053,-0.52111,0.00964,-0.03528,-0.71683,-0.79799,-0.79927,0.18215,-0.30388,-0.89736,0.60683,-0.63052,-0.82689,-0.1985,-0.9958,0.6243,-0.74786,-0.92715,0.17012,-0.86416,0.67841,-0.6517,-0.74141,0.41488,-0.16126,-0.46575,-0.49936,-0.49615,-0.53105,sn
